time = 50,Re = 1
0.599725,0.063516,704
-0.415134,0.470831,1824
-0.254327,-0.592289,2816
0.664372,0.033503,2740
-0.371265,0.591787,1835
-0.420541,-0.569482,1368
0.665635,-0.295017,4132
0.017789,0.821664,1069
-0.748742,-0.187198,3123
0.313279,-0.730473,3822
0.739175,0.344541,3663
-0.544789,0.639387,5472
-0.678835,-0.529578,4765
0.473426,-0.745701,2966
0.822744,0.379728,2425
-0.327746,0.872559,5130
-0.949087,-0.072561,5785
-0.27475,-0.935343,6432
-0.244912,-0.376682,4140
-0.283042,-0.347871,872
-0.338085,-0.29176,3042
-0.391773,-0.204457,1063
-0.423857,-0.088259,1032
-0.417013,-0.003247,1272
-0.390199,-0.049866,5534
-0.241317,-0.305896,1294
0.168795,-0.363348,1043
0.359104,-0.158823,4010
0.264155,-0.263095,2612
0.028095,-0.354018,2105
-0.24243,-0.230118,6245
-0.311282,0.044206,6167
-0.241233,0.165585,2462
-0.097222,-0.217103,1170
-0.498888,0.165779,4824
0.546076,0.038619,3101
-0.389035,0.412437,4947
0.036456,-0.588611,3536
0.474738,0.378082,3116
-0.617439,0.119955,1599
0.201151,-0.619683,907
0.489606,0.462012,4814
-0.677056,0.147243,5377
0.104402,-0.708471,3448
0.680441,0.2812,538
-0.609019,0.454659,1930
-0.356997,-0.696188,3907
0.753453,-0.28205,3444
0.15621,0.843823,5381
-0.850237,0.015156,2429
-0.065481,-0.870469,3689
0.88441,-0.144833,4466
0.253869,0.889722,6424
-0.864821,0.375287,6334
-0.643612,-0.720246,521
0.425066,-0.893309,6028
0.1966,-0.424614,983
0.150217,-0.442556,1182
0.05608,-0.461475,3458
-0.063617,-0.457334,2198
-0.207778,-0.407016,4828
-0.34002,-0.295913,3042
-0.424133,-0.115878,5484
-0.416711,0.02187,1272
-0.376355,-0.094546,5840
-0.028733,-0.393695,4049
0.329629,-0.222029,3582
0.288342,-0.244597,789
0.05442,-0.354673,2917
-0.245749,-0.22881,6245
-0.308452,0.065964,6168
-0.232348,0.177025,6345
0.129813,-0.187924,425
-0.398224,-0.357678,2451
0.410337,0.364055,4715
-0.574362,-0.017167,5396
0.437231,-0.404943,5493
0.064539,0.746207,391
-0.510182,-0.383878,1156
0.609284,-0.253406,4169
-0.186364,0.72228,5264
-0.540796,-0.450271,1231
0.63165,-0.357922,910
0.044008,0.818796,1230
-0.738915,-0.221927,2659
0.385763,-0.695407,4318
0.684103,0.44569,4008
-0.658245,0.522479,5139
-0.53876,-0.674906,1856
0.652987,-0.599409,3435
0.666911,0.620351,6158
-0.58635,0.726784,6144
-0.882709,-0.368862,1511
0.46229,-0.139033,6048
0.443832,-0.189846,1023
0.407276,-0.25698,934
0.33078,-0.345956,4488
0.200772,-0.429068,741
0.019863,-0.467479,6394
-0.195908,-0.417058,4828
-0.374727,-0.251155,3562
-0.43218,-0.025031,5330
-0.396556,0.010327,1634
-0.16108,-0.354869,1304
0.3219,-0.237662,4088
0.27237,-0.264484,2612
0.022743,-0.357835,2657
-0.276032,-0.188709,6620
-0.291035,0.119284,2047
-0.226589,0.167133,6078
,,4274
0.150119,-0.519402,2395
0.098473,0.687778,6120
-0.334581,-0.477641,1481
0.589879,0.120374,1024
-0.527345,0.332578,3660
0.044409,-0.646466,4547
0.541333,0.393362,3275
-0.66999,0.171028,4099
0.138132,-0.702371,1045
0.64468,0.35662,474
-0.677748,0.34557,5828
-0.180203,-0.763903,3201
0.803528,-0.075744,4622
-0.20992,0.829155,1792
-0.810123,-0.272206,5020
0.247874,-0.84174,3152
0.879374,0.197568,4954
-0.183658,0.913699,4858
-0.948537,0.016042,4886
-0.313703,-0.920589,379
0.49249,0.035098,2785
0.494087,-0.014289,1657
0.488191,-0.071474,1414
0.473833,-0.130908,6151
0.434938,-0.221601,842
0.344347,-0.338628,6113
0.176135,-0.442297,611
-0.072958,-0.461732,2198
-0.32611,-0.320272,728
-0.436071,-0.062479,5751
-0.398233,0.042197,5824
-0.182267,-0.342095,542
0.296797,-0.264138,3158
0.233897,-0.296127,586
-0.06513,-0.348507,3287
-0.315647,-0.095138,2363
-0.257738,0.179119,2784
-0.247856,0.074232,356
-0.187992,0.524476,3616
0.546268,0.013104,3114
-0.468176,0.314884,2137
0.291412,-0.515658,873
0.148495,0.692529,965
-0.527513,-0.357175,3979
0.618933,-0.227386,3483
-0.280788,0.657436,6847
-0.432916,-0.556865,1390
0.703197,-0.188547,1572
-0.28875,0.72317,1764
-0.621457,-0.463214,1460
0.611355,-0.514215,3470
0.423041,0.711805,1848
-0.823817,0.191204,1475
-0.168563,-0.853538,2509
0.864743,-0.223882,5548
0.289447,0.875809,5184
-0.868192,0.364185,689
-0.607313,-0.750276,448
0.413093,-0.296941,1002
0.395302,-0.319687,1846
0.419765,-0.284043,1329
0.449702,-0.227751,1625
0.464141,-0.185545,1224
0.445869,-0.215025,874
0.389039,-0.2965,1010
0.240961,-0.416537,984
-0.024766,-0.470501,1412
-0.310614,-0.339582,1236
-0.438744,-0.045941,2250
-0.394055,0.039016,5470
-0.10575,-0.374721,4785
0.290662,-0.265524,3158
0.162851,-0.335066,5971
-0.183542,-0.294593,3357
-0.320441,0.042746,6167
-0.221021,0.214404,6039
0.064718,-0.221125,4381
-0.160515,-0.512489,2170
0.179476,0.591057,1004
-0.387893,-0.432567,4097
0.583603,0.145014,4168
-0.569358,0.255112,4272
0.184735,-0.622413,937
0.406539,0.54473,5051
-0.691651,-0.070412,6093
0.410455,-0.591275,1568
0.426586,0.615674,949
-0.766438,-0.016112,2830
0.248426,-0.751471,4685
0.732282,0.353702,3663
-0.624762,0.559149,4836
-0.543872,-0.668717,1856
0.681401,-0.56602,5804
0.610348,0.676333,3436
-0.668307,0.652664,5738
-0.816911,-0.500547,6650
0.217556,-0.958,6045
-0.142611,0.521243,5161
-0.166587,0.506669,3385
-0.453934,0.225222,2348
-0.370887,-0.354913,786
0.057357,-0.507187,489
0.327471,-0.385579,986
0.412601,-0.282424,1329
0.380857,-0.31275,5615
0.237605,-0.421134,984
-0.044075,-0.470398,2763
-0.344396,-0.30515,3042
-0.43635,0.010331,1272
-0.3851,-0.025723,5962
0.043417,-0.389665,3792
0.264454,-0.282131,1977
0.014821,-0.363403,2402
-0.298982,-0.154324,280
-0.270509,0.172242,6408
-0.223169,0.155414,1288
0.043287,0.691337,6543
0.544576,0.034929,3101
-0.515139,0.232576,1728
0.427495,-0.412634,5213
-0.153793,0.690894,929
-0.347297,-0.537631,2928
0.655808,0.097355,2828
-0.557241,0.40008,2064
-0.050455,-0.70959,1500
0.693348,0.238895,1124
-0.64717,0.395951,2883
-0.203837,-0.755947,3186
0.805214,-0.041002,4542
-0.30184,0.790272,775
-0.763798,-0.385114,1983
0.400796,-0.782386,3728
0.818055,0.383208,2908
-0.413317,0.832563,5224
-0.923935,-0.228888,5518
-0.053868,-0.97479,5985
-0.080154,0.28417,353
-0.088141,0.499475,1133
-0.50509,-0.085208,1207
0.055592,-0.505807,4647
0.339726,-0.370018,990
0.342807,-0.355526,990
0.187144,-0.445992,1033
-0.126169,-0.454086,4228
-0.406353,-0.207636,6179
-0.411963,0.084893,5486
-0.325004,-0.198441,2545
0.18138,-0.349727,666
0.151475,-0.344789,1373
-0.181524,-0.299995,3357
-0.322606,0.051393,6535
-0.212229,0.234088,369
0.14107,-0.178624,425
0.07343,-0.53372,2244
-0.110833,0.675384,5234
-0.084779,-0.579307,3729
0.416895,0.443661,3494
-0.613195,-0.153214,4928
0.543887,-0.365984,4039
-0.187578,0.719755,5264
-0.45899,-0.533036,5004
0.710383,-0.155816,1706
-0.368723,0.671757,1293
-0.543668,-0.553247,4231
0.70793,-0.373335,2903
0.179373,0.834436,4805
-0.847139,-0.050229,3446
0.092989,-0.86797,5623
0.893099,0.088848,3348
-0.107252,0.92494,6127
-0.945722,0.033766,6361
-0.29285,-0.925683,386
-0.081528,0.28613,353
-0.233957,0.458514,5766
-0.14896,-0.487714,1602
0.277634,-0.418787,2043
0.285533,-0.401884,977
0.083125,-0.474199,839
-0.258889,-0.389463,4964
-0.444258,-0.051165,2250
-0.388208,0.065773,5873
-0.093515,-0.375268,4785
0.217375,-0.319559,480
-0.036248,-0.361651,3464
-0.3218,-0.095865,2363
-0.246294,0.214725,1999
-0.238612,0.099239,1077
-0.509023,0.13077,1459
0.374302,0.400886,4799
-0.496275,-0.295398,2053
0.597456,0.050607,651
-0.555258,0.280847,4229
0.213019,-0.61256,907
0.338009,0.60217,4908
-0.665961,-0.203272,1353
0.54447,-0.473003,2301
0.157684,0.784687,6156
-0.713184,-0.291075,2572
0.518171,-0.603307,3489
0.513829,0.639778,2114
-0.809626,0.235091,1489
-0.16766,-0.851867,5703
0.872504,-0.185565,3565
0.194738,0.904236,5619
-0.907814,0.250736,6314
-0.483618,-0.836497,6309
-0.11249,0.201262,626
-0.184498,0.490482,3937
-0.133709,-0.491027,1787
0.248568,-0.434141,976
0.194106,-0.449261,1033
-0.089497,-0.467837,2950
-0.401142,-0.226217,5941
-0.411439,0.101383,1694
-0.330426,-0.185202,2545
0.128713,-0.368361,495
0.064902,-0.367126,2917
-0.267349,-0.219119,6242
-0.290803,0.151134,6177
-0.195196,0.230255,407
0.051105,0.689807,982
0.537484,-0.086485,3188
-0.525442,0.207189,1812
0.488214,-0.338933,3397
