time,rotation,gamma,N1,N2,exp,,Re = 90
0,0,1,1123,0
67.399,10.7269,0.4,791,339,0.4372288185547
67.599,10.7587,0.405836,795,336,0.43685653036916
67.799,10.7906,0.402279,800,341,0.43654632506546
67.999,10.8224,0.400176,796,341,0.43620365181481
68.199,10.8542,0.399645,788,338,0.43584337529666
68.399,10.886,0.407143,788,332,0.43548139154369
68.599,10.9179,0.398417,795,342,0.43519800762826
68.799,10.9497,0.393833,791,344,0.43483019755197
68.999,10.9815,0.39646,789,341,0.43442022557646
69.199,11.0134,0.408805,784,329,0.43404062332069
69.399,11.0452,0.403414,781,332,0.43378826708748
69.599,11.077,0.396967,783,338,0.43348452441661
69.799,11.1089,0.407604,796,335,0.43311934917244
69.999,11.1407,0.42246,798,324,0.43286419568072
70.199,11.1725,0.438565,802,313,0.43276015372391
70.399,11.2044,0.445333,813,312,0.43281820218667
70.599,11.2362,0.45487,814,305,0.43294335016481
70.799,11.268,0.470796,831,299,0.43316261666316
70.999,11.2999,0.466785,828,301,0.43353895049653
71.199,11.3317,0.463582,854,313,0.43387141099156
71.399,11.3635,0.464378,853,312,0.43416851688164
71.599,11.3953,0.490163,871,298,0.43447061171283
71.799,11.4272,0.488696,856,294,0.4350275355957
71.999,11.459,0.487805,854,294,0.43556422023974
72.199,11.4908,0.462478,838,308,0.43608662803735
72.399,11.5227,0.464442,834,305,0.43635054175697
72.599,11.5545,0.463845,830,304,0.4366314563394
72.799,11.5863,0.461672,839,309,0.43690359177601
72.999,11.6182,0.459507,829,307,0.43715127585825
73.199,11.65,0.475203,818,291,0.43737483309967
73.399,11.6818,0.482224,813,284,0.43775311476867
73.599,11.7137,0.461469,806,297,0.43819782362098
73.799,11.7455,0.457658,809,301,0.43843053538477
73.999,11.7773,0.443744,802,309,0.43862281003092
74.199,11.8091,0.423248,802,325,0.43867402193062
74.399,11.841,0.430335,811,323,0.43851976171131
74.599,11.8728,0.422339,815,331,0.4384379140942
74.799,11.9046,0.409091,806,338,0.43827692495325
74.999,11.9365,0.39547,801,347,0.43798506570372
75.199,11.9683,0.377551,810,366,0.43755991504668
75.399,12.0001,0.371525,814,373,0.43695982589622
75.599,12.032,0.383051,816,364,0.43630547763726
75.799,12.0638,0.381113,819,367,0.43577293286088
75.999,12.0956,0.370307,803,369,0.43522633353227
76.199,12.1275,0.384089,809,360,0.43457714019695
76.399,12.1593,0.377163,796,360,0.43407225879498
76.599,12.1911,0.381818,798,357,0.43350316620703
76.799,12.223,0.382867,791,353,0.43298631454496
76.999,12.2548,0.370925,778,357,0.43248512139951
77.199,12.2866,0.374663,765,348,0.43186952018552
77.399,12.3184,0.403151,757,322,0.43129745498366
77.599,12.3503,0.396536,766,331,0.43101599043383
77.799,12.3821,0.406335,777,328,0.43067119052949
77.999,12.4139,0.4,770,330,0.43042782862419
78.199,12.4458,0.413333,795,330,0.43012355033795
78.399,12.4776,0.4126,796,331,0.42995564483457
78.599,12.5094,0.426056,810,326,0.42978208838622
78.799,12.5413,0.403662,805,342,0.42974482750236
78.999,12.5731,0.402418,812,346,0.42948399922734
79.199,12.6049,0.390854,806,353,0.42921333923507
79.399,12.6368,0.379135,813,366,0.42882974584271
79.599,12.6686,0.355649,810,385,0.42833279838429
79.799,12.7004,0.355761,806,383,0.42760596040044
79.999,12.7322,0.362637,806,377,0.42688751079644
80.199,12.7641,0.371817,808,370,0.42624500568848
80.399,12.7959,0.383959,811,361,0.42570072563159
80.599,12.8277,0.393939,805,350,0.42528330837528
80.799,12.8596,0.389801,804,353,0.42496986529152
80.999,12.8914,0.406632,806,340,0.42461817663861
81.199,12.9232,0.399299,799,343,0.42443831487222
81.399,12.9551,0.404484,783,332,0.4241869217235
81.599,12.9869,0.414248,804,333,0.42398989250626
81.799,13.0187,0.414808,793,328,0.4238924735812
81.999,13.0506,0.420578,787,321,0.42380162884539
82.199,13.0824,0.429084,796,318,0.42376939255694
82.399,13.1142,0.420444,799,326,0.42382253863137
82.599,13.1461,0.423759,803,325,0.42378875324505
82.799,13.1779,0.441734,798,309,0.4237884557126
82.999,13.2097,0.443662,820,316,0.42396791115548
83.199,13.2415,0.441778,811,314,0.42416485204392
83.399,13.2734,0.452104,811,306,0.42434098352348
