time = 32	Re = 1	rotation = 5.0928
0.486724	-0.431149	4741	
0.543697	-0.146936	7190	
0.729776	-0.409100	5328	
0.470091	-0.335759	5553	
-0.184490	0.724750	5794	
0.476135	0.730758	7856	
-0.495870	-0.014592	2845	
0.727848	0.655994	2308	
-0.295206	-0.876343	942	
0.661156	0.010315	4266	
-0.749196	-0.157322	3096	
-0.254815	-0.931026	1289	
-0.504759	-0.787951	7970	
0.664224	0.144768	4472	
-0.431115	0.633529	1938	
0.228154	-0.542682	8360	
-0.669050	-0.354258	7796	
-0.110227	-0.400587	7633	
0.496025	0.421428	6202	
-0.040937	-0.554295	1573	
0.011952	0.898417	1209	
0.035410	-0.957430	9686	
-0.183201	-0.195465	3212	
-0.129885	-0.462262	8883	
-0.910740	0.143020	7498	
-0.237584	-0.662961	814	
0.573297	-0.362784	3875	
-0.616228	-0.749077	9111	
0.611609	0.112611	8627	
-0.058540	-0.229608	3311	
0.256992	0.207840	4684	
-0.014288	0.872293	8032	
0.339622	-0.761162	4196	
0.363524	-0.387476	3675	
0.560315	-0.619102	2959	
0.387803	-0.573355	8155	
0.694389	0.513433	7594	
0.074341	-0.916935	8159	
0.506761	-0.800238	8643	
0.192408	-0.538609	1537	
0.490520	-0.249233	487	
0.553218	0.250422	5186	
0.001806	-0.326761	5052	
-0.771502	-0.085298	7907	
-0.024208	0.223990	3308	
-0.268921	0.383243	285	
0.076096	0.079683	7709	
0.078915	-0.604368	5164	
-0.519285	-0.323944	3918	
0.630155	-0.023815	705	
-0.008496	-0.437612	9529	
-0.137058	-0.140294	1754	
0.373715	-0.633583	4619	
-0.388807	-0.114601	2562	
-0.031954	-0.795935	3937	
-0.377801	-0.344902	1887	
-0.837785	-0.396427	1433	
-0.150239	-0.680172	3554	
0.313093	-0.096709	9011	
-0.288738	-0.156052	726	
0.086737	-0.348628	9782	
-0.450366	-0.866734	1435	
0.267758	0.278444	1007	
-0.011207	0.181996	330	
-0.851774	-0.381842	481	
0.645023	-0.493313	8524	
-0.917027	-0.151800	4909	
0.184853	-0.247652	3836	
-0.832300	-0.356310	4825	
0.485186	-0.546296	8900	
0.641685	0.030177	2341	
0.740436	0.372416	7013	
0.526627	0.373566	3401	
0.024048	-0.701641	4162	
0.430869	-0.726860	4837	
0.850205	0.141093	4165	
-0.218145	0.859111	4968	
-0.710593	0.572593	5609	
0.356276	-0.632891	3057	
0.677687	-0.277020	1320	
-0.390588	-0.373359	2067	
-0.842413	0.414172	8783	
0.347196	0.490241	1919	
0.372409	-0.268507	5524	
